step,control_index,accel,steer
71,0,0.999999990435389,0.785398162427263
71,1,0.999999989230184,0.785398161949380
71,2,0.999999983869757,0.785398161206940
71,3,0.999999956217524,0.785398154658740
71,4,0.806139237114703,0.728573949276946
72,0,0.999999998232476,0.785398163263372
72,1,0.999999997962050,0.785398163173829
72,2,0.999999996466609,0.785398163134757
72,3,0.999999672148779,0.785398150080687
72,4,0.306140367056581,0.703263361815654
73,0,0.999999993624509,0.785398161821813
73,1,0.999999989646294,0.785398160468569
73,2,0.999999975737059,0.785398161666942
73,3,0.751673512721413,0.696943767701525
73,4,-0.131778047159078,0.593993621642606
74,0,0.999999998497260,0.785398163221726
74,1,0.999999997220293,0.785398163167137
74,2,0.999999925241848,0.785398024196956
74,3,0.036217516192355,0.680678271625219
74,4,-0.452914042326652,0.575958552561063
75,0,0.999999999725672,0.562383993404799
75,1,0.999999999289914,0.457664238591365
75,2,0.998139695362811,0.352944483746078
75,3,-0.296638673829086,0.248224729252603
75,4,-0.868769805574562,0.143736759161898
76,0,0.999999994183879,0.427675656888572
76,1,0.676739539105075,0.322955903015378
76,2,-0.269035369012655,0.218236149035279
76,3,-0.510066330866779,0.113516396897485
76,4,-0.520195182125746,0.016600074947697
77,0,0.999999997657398,-0.061593297749631
77,1,0.265148203291295,-0.166313048927550
77,2,-0.565120894979342,-0.271032799888041
77,3,-0.634468803294522,-0.375752424337224
77,4,-0.635256148776103,-0.413048290020763
78,0,0.999999999807821,-0.487721747027616
78,1,0.782500923395978,-0.477987056920691
78,2,-0.698729449948942,-0.456028220361947
78,3,-0.999999995989379,-0.443086192245848
78,4,-0.999999978879092,-0.443921255425960
79,0,-0.356745633722547,-0.271024300863065
79,1,-0.408165341259919,-0.334918117993726
79,2,-0.635858971553075,-0.376615803689413
79,3,-0.788003103506311,-0.392155785458442
79,4,-0.546473953735349,-0.396576194086650
80,0,0.955254389894426,-0.431449801566681
80,1,-0.061902755107961,-0.397444587322753
80,2,-0.894065164565709,-0.353822805870546
80,3,-0.999999999207749,-0.326668021241412
80,4,-0.999999864095497,-0.318700500896315
